100
ID;Titulo;Autor;Paginas;AñoPublicación;EjemplaresVendidos;Género
LIB86;Libro_86;Autor_3;164;2010;268700;fantasia
LIB87;Libro_87;Autor_5;1074;1980;267000;gastronomia
LIB88;Libro_88;Autor_6;811;2070;239600;poesia
LIB89;Libro_89;Autor_1;650;2050;319400;humor
LIB90;Libro_90;Autor_2;119;2035;207600;drama
LIB91;Libro_91;Autor_3;402;2081;196600;humor
LIB92;Libro_92;Autor_3;951;1994;251800;infantil
LIB93;Libro_93;Autor_2;252;1910;158700;infantil
LIB94;Libro_94;Autor_2;110;2067;167000;infantil
LIB95;Libro_95;Autor_4;327;1953;225800;poesia
LIB96;Libro_96;Autor_2;982;1996;306500;drama
LIB97;Libro_97;Autor_2;574;1935;312700;investigacion
LIB98;Libro_98;Autor_4;523;2030;240200;cine
LIB99;Libro_99;Autor_4;696;2047;276100;cine
